time,device_address,payload_size,frequency,spreading_factor,mtype,fport,wait,ToA,estimated_delay,ToA_shift
0.0,01ae0905,29.0,868500000,8.0,10,5,2.3959999084472656,0.123,1.419,0.134
2.3959999084472656,007c7a26,31.0,868100000,8.0,10,5,2.380000114440918,0.134,1.403,0.123
4.776000022888184,0191aa4b,29.0,868300000,8.0,10,5,17.51699995994568,0.123,1.511,0.226
22.292999982833862,01807a6d,29.0,867700000,9.0,10,5,7.174000024795532,0.226,1.547,0.123
29.467000007629395,01d24587,29.0,868100000,8.0,10,5,4.263999938964844,0.123,1.398,0.113
33.73099994659424,27000273,24.0,867700000,8.0,100,5,12.808000087738044,0.113,1.385,0.103
46.53900003433228,27000286,19.0,867900000,8.0,10,5,3.4519999027252126,0.103,1.402,0.123
49.990999937057495,00a0dd94,29.0,868500000,8.0,10,5,6.358999967575073,0.123,1.6969999999999998,0.412
56.34999990463257,0010d857,29.0,868100000,10.0,10,5,5.610000133514404,0.412,1.867,0.195
61.96000003814697,04101dd1,57.0,868500000,8.0,10,1,3.263000011444092,0.195,1.41,0.123
65.22300004959106,0099ffb9,29.0,868100000,8.0,10,5,1.496999979019165,0.123,1.408,0.123
66.72000002861023,00b42771,29.0,868500000,8.0,10,5,8.044999837875366,0.123,1.408,0.123
74.7649998664856,01c7e014,29.0,868500000,8.0,10,5,8.565000057220459,0.123,1.408,0.123
83.32999992370605,037023cb,65.0,868500000,7.0,10,1,3.809000015258789,0.123,1.336,0.123
87.13899993896484,017df4c7,29.0,868500000,8.0,10,5,4.489000082015991,0.123,1.398,0.113
91.62800002098083,2700025e,24.0,868100000,8.0,100,5,4.254999876022325,0.113,1.405,0.123
95.88299989700316,0004a8e8,29.0,868500000,8.0,10,5,4.626000165939345,0.123,1.408,0.123
100.5090000629425,0020e172,29.0,868100000,8.0,10,5,13.43999981880188,0.123,1.419,0.134
113.94899988174438,0147e874,31.0,868300000,8.0,10,5,4.039000034332275,0.134,1.403,0.123
117.98799991607666,0004a933,29.0,868500000,8.0,10,5,5.319000005722046,0.123,1.347,0.062
123.3069999217987,01334ec7,26.0,868100000,7.0,10,5,12.794000148773193,0.062,1.3490000000000002,0.134
136.1010000705719,003ed925,31.0,868300000,8.0,10,5,3.879999876022339,0.134,1.403,0.123
139.98099994659424,00524308,29.0,868300000,8.0,10,5,4.3480000495910645,0.123,1.408,0.123
144.3289999961853,01a3707e,29.0,868100000,8.0,10,5,7.851999998092651,0.123,1.377,0.092
152.18099999427795,04101d89,45.0,868500000,7.0,10,1,5.675999879837036,0.092,2.8600000000000003,1.647
157.856999874115,01719341,29.0,868100000,12.0,10,5,4.788000106811523,1.647,3.439,0.123
162.6449999809265,017b2c19,29.0,868500000,8.0,10,5,8.252000093460083,0.123,1.408,0.123
170.8970000743866,010839b3,29.0,868100000,8.0,10,5,2.297999858856201,0.123,1.408,0.123
173.1949999332428,0168d712,29.0,868100000,8.0,10,5,11.574000120162964,0.123,1.511,0.226
184.76900005340576,0074832a,29.0,868300000,9.0,10,5,11.540999889373808,0.226,1.547,0.123
196.30999994277957,00715eb0,29.0,868500000,8.0,10,5,4.48699998855588,0.123,1.408,0.123
200.79699993133545,0037d0fe,29.0,868100000,8.0,10,5,6.13100004196167,0.123,1.347,0.062
206.92799997329712,20000012,26.0,868500000,7.0,10,10,9.471999883651733,0.062,1.441,0.226
216.39999985694885,00759afb,29.0,867700000,9.0,10,5,6.9730000495910645,0.226,1.486,0.062
223.37299990653992,00bebc5d,26.0,867900000,7.0,10,5,8.19099998474124,0.062,1.338,0.123
231.56399989128116,0097ab64,29.0,868100000,8.0,10,5,2.989000082015963,0.123,1.393,0.108
234.55299997329712,04101ebf,57.0,868100000,7.0,10,1,9.967000007629395,0.108,1.35,0.134
244.5199999809265,010222c0,31.0,868100000,8.0,10,5,12.331000089645386,0.134,1.4140000000000001,0.134
256.8510000705719,012b4af6,31.0,868100000,8.0,10,5,5.98799991607666,0.134,1.342,0.062
262.83899998664856,01cba26e,26.0,867100000,7.0,10,5,7.35299992561346,0.062,1.338,0.123
270.191999912262,00ed974f,29.0,868100000,8.0,10,5,1.700999975204411,0.123,1.408,0.123
271.89299988746643,01bd33bc,29.0,868500000,8.0,10,5,7.390000104904175,0.123,1.357,0.072
279.2829999923706,04a0450e,33.0,868500000,7.0,10,1,8.674999952316284,0.072,1.2770000000000001,0.062
287.9579999446869,01a41f61,26.0,867900000,7.0,10,5,4.930000066757202,0.062,1.2770000000000001,0.062
292.8880000114441,0060eb93,26.0,867900000,7.0,10,5,4.020999908447266,0.062,1.2770000000000001,0.062
296.90899991989136,00570e69,26.0,868300000,7.0,10,5,10.447999954223633,0.062,1.328,0.113
307.356999874115,270002d5,24.0,867900000,8.0,100,5,4.856000185012817,0.113,1.344,0.062
312.2130000591278,0056c2ec,26.0,867900000,7.0,10,5,10.171000003814697,0.062,1.441,0.226
322.3840000629425,01807a6d,29.0,868500000,9.0,10,5,8.972999811172485,0.226,1.547,0.123
